"统计时间","在线车辆数","运行里程","运行时长"
"2020-05-03","56.00","4238.02","224.0000"
"2020-05-08","63.00","4524.90","228.0000"
"2020-06-04","92.00","6609.78","322.0000"
"2020-05-31","60.00","4996.88","260.0000"
"2020-06-26","94.00","5885.20","319.0000"
"2020-10-09","126.00","7694.14","425.0000"
"2020-10-27","123.00","6926.71","381.0000"
"2020-11-03","124.00","7496.71","422.0000"
"2019-05-11","62.00","5735.97","260.0000"
"2019-06-29","63.00","5326.35","251.0000"
"2020-01-21","78.00","4984.96","250.0000"
"2020-03-14","53.00","3678.05","190.0000"
"2020-04-03","65.00","5133.79","261.0000"
"2020-04-21","67.00","4746.40","244.0000"
"2020-06-02","80.00","5329.55","273.0000"
"2020-05-29","73.00","4873.17","256.0000"
"2020-07-07","135.00","7891.31","431.0000"
"2020-07-19","115.00","5954.16","328.0000"
"2020-07-23","116.00","5329.78","290.0000"
"2020-07-28","129.00","7600.36","418.0000"
"2020-09-24","130.00","7474.63","392.0000"
"2020-10-16","119.00","6901.02","387.0000"
"2020-11-21","111.00","6201.67","361.0000"
"2019-05-25","65.00","5187.63","242.0000"
"2019-07-10","74.00","5431.17","254.0000"
"2019-09-08","75.00","5305.79","288.0000"
"2019-09-01","72.00","5654.65","297.0000"
"2019-08-19","67.00","5104.82","236.0000"
"2019-09-17","78.00","4743.75","261.0000"
"2019-11-02","63.00","4368.71","234.0000"
"2019-11-23","66.00","4485.90","241.0000"
"2019-12-31","50.00","1973.86","100.0000"
"2020-01-10","72.00","3586.87","184.0000"
"2020-02-08","55.00","3072.83","159.0000"
"2020-02-04","67.00","4028.08","179.0000"
"2020-03-01","58.00","3981.29","199.0000"
"2020-05-12","70.00","4789.86","256.0000"
"2020-06-05","89.00","5400.50","292.0000"
"2020-06-09","113.00","6867.85","362.0000"
"2020-08-15","0.00","0.00","0.0000"
"2020-10-22","123.00","7299.73","404.0000"
"2020-11-17","122.00","6858.53","377.0000"
"2019-05-07","69.00","5330.92","241.0000"
"2019-05-01","68.00","6069.32","270.0000"
"2019-05-08","72.00","6229.43","273.0000"
"2019-06-18","75.00","7045.72","327.0000"
"2019-07-14","54.00","4591.34","218.0000"
"2019-07-20","42.00","1474.37","72.0000"
"2019-09-06","84.00","5848.04","304.0000"
"2019-11-17","63.00","3868.86","211.0000"
"2020-03-12","60.00","4230.74","215.0000"
"2020-03-30","59.00","3843.72","196.0000"
"2020-05-10","43.00","1833.75","89.0000"
"2020-05-23","63.00","5171.81","271.0000"
"2020-07-14","134.00","7691.81","435.0000"
"2020-08-30","120.00","7207.36","409.0000"
"2020-09-17","133.00","7565.44","402.0000"
"2020-09-30","125.00","7610.01","435.0000"
"2019-04-30","76.00","5799.76","262.0000"
"2020-01-12","47.00","3003.44","155.0000"
"2020-02-06","46.00","2735.82","131.0000"
"2020-03-27","66.00","4481.59","235.0000"
"2020-04-23","66.00","4942.26","252.0000"
"2020-07-10","139.00","8235.92","432.0000"
"2020-08-13","140.00","8583.17","460.0000"
"2020-08-08","123.00","7529.57","417.0000"
"2020-10-05","118.00","7104.96","385.0000"
"2019-05-03","0.00","0.00","0.0000"
"2019-05-10","77.00","5776.23","251.0000"
"2019-07-01","78.00","5506.13","250.0000"
"2019-06-30","64.00","5539.93","258.0000"
"2019-11-07","82.00","5574.33","300.0000"
"2019-12-30","5.00","262.54","19.0000"
"2019-12-11","67.00","3913.21","206.0000"
"2020-01-18","70.00","4507.41","225.0000"
"2020-01-08","52.00","2717.98","159.0000"
"2020-02-23","54.00","3933.22","199.0000"
"2020-02-21","64.00","4618.58","226.0000"
"2020-02-27","63.00","3917.57","207.0000"
"2020-02-26","69.00","3912.12","207.0000"
"2020-03-08","52.00","3771.86","200.0000"
"2020-03-06","61.00","3975.66","192.0000"
"2020-03-17","67.00","4082.49","219.0000"
"2020-04-22","68.00","4732.12","241.0000"
"2020-05-16","58.00","4302.17","230.0000"
"2020-05-22","61.00","4470.80","229.0000"
"2020-06-06","77.00","5475.59","298.0000"
"2020-06-16","111.00","6756.45","356.0000"
"2020-07-20","136.00","7839.90","437.0000"
"2020-08-09","126.00","7461.62","395.0000"
"2020-08-24","135.00","8217.85","438.0000"
"2020-08-14","136.00","6900.32","397.0000"
"2020-10-26","130.00","6839.64","376.0000"
"2019-04-27","64.00","5576.46","254.0000"
"2019-09-04","83.00","5520.58","292.0000"
"2019-09-27","83.00","5209.04","266.0000"
"2019-10-17","75.00","5211.42","271.0000"
"2019-11-09","65.00","4745.68","248.0000"
"2020-03-13","62.00","3971.36","206.0000"
"2020-04-26","61.00","3350.50","180.0000"
"2020-06-08","93.00","5992.14","310.0000"
"2020-07-17","132.00","7747.11","426.0000"
"2020-07-26","114.00","7200.00","385.0000"
"2020-08-18","128.00","9049.39","426.0000"
"2020-10-29","125.00","6801.74","385.0000"
"2020-11-05","86.00","3921.60","238.0000"
"2020-11-11","126.00","7006.51","393.0000"
"2019-06-14","72.00","5137.97","236.0000"
"2019-07-09","69.00","4753.39","235.0000"
"2019-07-16","72.00","4938.88","241.0000"
"2019-09-23","89.00","6391.66","309.0000"
"2019-10-12","74.00","5002.14","250.0000"
"2019-10-28","75.00","4812.92","266.0000"
"2019-12-03","64.00","4620.27","258.0000"
"2020-01-16","73.00","4021.93","201.0000"
"2020-02-17","42.00","2482.37","136.0000"
"2020-04-08","60.00","4762.88","242.0000"
"2020-04-19","55.00","4684.57","237.0000"
"2020-07-15","132.00","7641.08","426.0000"
"2020-08-19","130.00","8541.31","425.0000"
"2020-08-23","120.00","7310.24","421.0000"
"2020-09-08","128.00","7816.84","449.0000"
"2020-09-19","115.00","6917.64","375.0000"
"2020-09-25","131.00","7667.68","417.0000"
"2020-11-02","123.00","7095.38","399.0000"
"2020-11-09","125.00","6465.25","364.0000"
"2019-07-12","74.00","5854.39","267.0000"
"2019-08-17","61.00","4519.19","218.0000"
"2019-10-10","76.00","5804.80","277.0000"
"2019-11-08","78.00","4822.27","259.0000"
"2019-10-31","77.00","5188.22","268.0000"
"2020-01-05","51.00","2885.72","141.0000"
"2020-02-01","55.00","6210.03","186.0000"
"2020-03-16","63.00","4117.17","209.0000"
"2020-04-14","64.00","4652.16","244.0000"
"2020-04-15","64.00","4200.37","226.0000"
"2020-04-17","66.00","4362.00","224.0000"
"2020-04-30","63.00","4602.15","189.0000"
"2020-05-09","63.00","3183.86","168.0000"
"2020-05-19","75.00","5065.41","281.0000"
"2020-05-18","76.00","5120.60","271.0000"
"2020-05-17","59.00","4325.62","231.0000"
"2020-08-05","139.00","8204.71","448.0000"
"2020-09-06","111.00","6683.03","376.0000"
"2020-08-28","135.00","8761.56","505.0000"
"2020-09-23","128.00","8174.74","430.0000"
"2020-09-29","126.00","7213.87","411.0000"
"2020-10-14","123.00","7426.37","413.0000"
"2019-09-03","79.00","6167.77","321.0000"
"2019-09-19","84.00","5499.51","286.0000"
"2019-10-09","74.00","5613.46","262.0000"
"2019-11-01","82.00","4761.29","257.0000"
"2020-01-02","58.00","2947.17","145.0000"
"2019-12-09","66.00","3888.16","198.0000"
"2020-01-17","80.00","4051.72","200.0000"
"2020-02-02","54.00","5909.35","174.0000"
"2020-01-25","52.00","2292.82","124.0000"
"2020-03-04","61.00","3631.77","190.0000"
"2020-03-15","54.00","3614.99","189.0000"
"2020-03-23","64.00","4384.55","228.0000"
"2020-04-05","46.00","3538.50","186.0000"
"2020-04-25","63.00","4834.19","236.0000"
"2020-06-22","106.00","6951.88","367.0000"
"2020-08-16","126.00","9323.68","502.0000"
"2020-08-27","132.00","8037.29","459.0000"
"2020-09-10","122.00","8822.72","495.0000"
"2020-11-18","111.00","6235.29","356.0000"
"2019-06-27","79.00","7350.05","356.0000"
"2019-07-29","74.00","6550.75","279.0000"
"2019-09-10","80.00","5119.29","276.0000"
"2019-10-13","64.00","4360.29","219.0000"
"2020-01-01","44.00","2494.01","129.0000"
"2019-12-05","55.00","3042.30","165.0000"
"2020-01-14","54.00","2696.61","148.0000"
"2020-05-01","52.00","3324.94","182.0000"
"2020-07-05","117.00","6909.34","394.0000"
"2020-09-27","123.00","7531.42","411.0000"
"2020-10-25","111.00","6095.41","345.0000"
"2019-05-16","72.00","5176.61","239.0000"
"2019-06-19","73.00","3315.51","130.0000"
"2019-07-21","57.00","4893.86","233.0000"
"2019-09-18","82.00","6689.15","316.0000"
"2019-10-26","68.00","4428.01","248.0000"
"2019-11-18","73.00","4857.16","268.0000"
"2019-11-20","78.00","4617.87","241.0000"
"2019-12-04","69.00","4510.87","251.0000"
"2020-01-30","49.00","3355.69","178.0000"
"2020-04-04","49.00","3640.78","202.0000"
"2020-05-05","53.00","4011.87","214.0000"
"2020-05-06","64.00","4584.62","244.0000"
"2020-06-29","103.00","6637.58","339.0000"
"2020-07-22","133.00","8296.46","439.0000"
"2020-08-31","133.00","7788.17","428.0000"
"2019-05-04","0.00","0.00","0.0000"
"2019-06-17","77.00","6492.12","311.0000"
"2019-05-27","81.00","5996.09","294.0000"
"2019-06-22","76.00","6568.31","294.0000"
"2019-08-03","60.00","4725.01","214.0000"
"2019-09-11","80.00","5668.87","293.0000"
"2019-09-09","84.00","5231.55","280.0000"
"2019-10-24","83.00","5115.52","263.0000"
"2019-11-05","81.00","5531.54","285.0000"
"2020-01-04","53.00","3618.52","172.0000"
"2020-04-27","64.00","4232.57","217.0000"
"2020-06-24","109.00","6873.33","364.0000"
"2020-07-03","134.00","7524.79","408.0000"
"2020-10-06","112.00","6582.27","382.0000"
"2020-10-17","113.00","7290.78","407.0000"
"2019-07-02","77.00","5343.35","251.0000"
"2019-07-03","75.00","5694.83","261.0000"
"2019-07-17","73.00","5509.11","251.0000"
"2019-09-22","78.00","4913.74","255.0000"
"2019-10-20","68.00","4640.02","247.0000"
"2019-11-26","71.00","4677.82","253.0000"
"2020-02-22","58.00","3736.99","187.0000"
"2020-06-11","111.00","6639.57","342.0000"
"2020-06-25","98.00","5946.46","326.0000"
"2020-07-02","140.00","8095.92","434.0000"
"2020-07-11","122.00","7197.15","401.0000"
"2020-09-02","126.00","7900.43","439.0000"
"2020-09-14","128.00","7384.80","410.0000"
"2020-10-04","117.00","6874.82","391.0000"
"2020-10-07","113.00","6886.71","386.0000"
"2020-11-15","112.00","6545.05","369.0000"
"2019-05-18","68.00","5188.05","244.0000"
"2019-07-28","58.00","5014.06","234.0000"
"2019-09-13","66.00","4264.88","242.0000"
"2019-11-04","81.00","5259.99","274.0000"
